"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.145370583E0,1.050601031E-1,-1.764003732E-1,-6.863520205E-1,7.164033871E-1
2.155340583E0,-2.900304845E-1,5.589161580E-2,1.120580288E0,1.158853630E0
2.165310583E0,-6.100908067E-2,-1.634187870E-1,-4.791383922E-2,1.808965004E-1
2.175280583E0,2.024877624E-1,-4.500947239E-2,-3.881931388E-1,4.401375462E-1
2.185249583E0,2.540541380E-1,-3.086191485E-1,-4.866315991E-1,6.297615398E-1
2.195219583E0,4.853102745E-1,-1.669670968E-1,3.798509163E-1,6.385066895E-1
2.205189583E0,1.066976523E-1,1.706711252E-1,1.369697403E0,1.384407453E0
2.215159583E0,-1.144534357E-1,-1.199043198E-1,-3.443314201E-1,3.821527989E-1
2.225129583E0,7.927556310E-2,-2.801826952E-1,-8.665497583E-1,9.141637934E-1
2.235099583E0,-4.279654612E-1,2.382948685E-1,1.716433783E0,1.784960451E0
2.245069583E0,-3.528978468E-1,4.034762987E-1,9.205961573E-1,1.065282732E0
2.255039583E0,-4.689716556E-1,2.271887402E-1,-9.752465737E-1,1.105737318E0
2.265009583E0,-2.666456235E-1,-7.229583771E-2,-7.280052459E-1,7.786643788E-1
2.274979583E0,3.954571348E-1,-2.874528308E-1,2.479979575E-1,5.481956424E-1
2.284948583E0,3.492541909E-1,-1.714630392E-1,-2.665307075E-1,4.716107311E-1
2.294918583E0,2.141683431E-1,2.269036245E-2,-7.920229018E-1,8.207820714E-1
2.304888583E0,1.021636848E-1,3.295677122E-1,-6.578912830E-1,7.428817104E-1
2.314858583E0,3.031757379E-1,3.237023336E-1,9.493539333E-3,4.436088999E-1
2.324828583E0,6.529130733E-2,3.097959006E-2,-3.838907576E-1,3.906338484E-1
2.334798583E0,1.188780604E-1,-1.734368947E-1,-3.544482726E-1,4.121236800E-1
2.344768583E0,-1.178179967E-1,1.110646636E-2,3.759707040E-1,3.941553046E-1
2.354738583E0,-1.529589588E-1,1.770299722E-1,8.076098245E-1,8.408148921E-1
2.364708583E0,-1.662374374E-1,-4.013743526E-2,-4.370442867E-2,1.765105560E-1
2.374678583E0,-1.422079757E-1,-1.547606321E-1,-1.207835948E-1,2.424100625E-1
2.384647583E0,5.884199291E-3,-1.602676129E-1,4.280980468E-1,4.571523479E-1
2.394617583E0,2.240529516E-1,8.850418702E-3,6.831436533E-1,7.190016036E-1
2.404587583E0,2.173674279E-1,1.126087762E-1,4.530890465E-1,5.149941934E-1
2.414557583E0,2.237181254E-3,9.086889239E-2,4.026100338E-1,4.127432614E-1
2.424527583E0,1.625007011E-2,1.088130653E-1,5.941355824E-3,1.101800693E-1
2.434497583E0,1.165652125E-1,1.070229585E-2,3.583553821E-1,3.769888165E-1
2.444467583E0,1.027737869E-1,-1.178202077E-1,-1.053440219E-1,1.885243103E-1
2.454437583E0,7.152252059E-2,-2.752934545E-1,-6.398391742E-1,7.002114865E-1
2.464407583E0,7.470192583E-2,-4.138009467E-1,-9.469402027E-1,1.036101997E0
2.474377583E0,2.524974995E-1,-1.791732325E-1,-7.221428275E-1,7.857151506E-1
2.484346583E0,9.978927668E-2,1.345377992E-1,3.104883206E-1,3.527907544E-1
2.494316583E0,-2.865570922E-1,3.494972889E-1,4.652582717E-1,6.486359390E-1
2.504286583E0,-3.018118566E-1,1.960731293E-1,-4.628585744E-1,5.863216938E-1
2.514256583E0,-1.229458404E-1,6.065652554E-2,-6.661750335E-1,6.801353313E-1
2.524226583E0,2.983766539E-2,-6.652652250E-2,4.108873522E-1,4.173062193E-1
2.534196583E0,-5.317253262E-2,-9.957826529E-3,2.392616326E-1,2.453010504E-1
2.544166583E0,-2.327578477E-1,-1.097352809E-1,-8.754153067E-1,9.124527422E-1
2.554136583E0,-2.767818632E-1,-4.829384428E-2,-7.081983876E-1,7.618959584E-1
2.564106583E0,4.905441172E-2,1.211703242E-1,8.597213799E-1,8.696030323E-1
2.574076583E0,2.229829111E-1,2.022071874E-1,8.811917710E-1,9.311863737E-1
2.584045583E0,6.009019073E-2,1.004167743E-1,-4.449754500E-1,4.601059777E-1
2.594015583E0,1.187388601E-1,1.306370303E-1,-5.284362674E-1,5.571443612E-1
2.603985583E0,4.409805227E-1,-6.427840512E-2,4.682824516E-1,6.464394707E-1
2.613955583E0,5.885312090E-1,-2.622319076E-1,5.285479492E-1,8.333651612E-1
2.623924958E0,3.599520374E-2,-3.961593124E-1,-6.481726259E-1,7.605035230E-1
2.633894958E0,-1.469487154E-1,-2.278982998E-1,-2.392885298E-1,3.616497760E-1
2.643864958E0,-1.410070307E-1,-3.128385358E-1,5.483893061E-1,6.469016643E-1
2.653834958E0,3.587073114E-2,-2.170659491E-1,2.758552623E-1,3.528462290E-1
2.663804958E0,-2.122305028E-1,-2.707323339E-1,3.495395350E-1,4.904239691E-1
2.673774958E0,-3.948823535E-1,-2.999390665E-1,3.362318569E-1,5.991221731E-1
2.683743958E0,-8.111875165E-2,-2.573943417E-1,4.205925608E-1,4.997301283E-1
2.693713958E0,3.993648291E-3,-3.243314940E-1,-2.067733330E-1,3.846583919E-1
2.703683958E0,4.211288966E-2,-3.187176554E-1,-4.270993423E-1,5.345729955E-1
2.713653958E0,2.555523774E-1,-3.837099141E-2,2.560203373E-2,2.596821416E-1
2.723623958E0,1.345390235E-1,9.859635333E-2,6.621375310E-1,6.828236227E-1
2.733593958E0,1.072816613E-1,1.237553143E-2,2.830286264E-2,1.116403182E-1
2.743563958E0,-2.497267233E-2,-2.611830999E-1,-1.048399919E0,1.080732454E0
2.753533958E0,-3.152438611E-2,-1.786576726E-1,-3.433502573E-1,3.883320101E-1
2.763503958E0,-7.100962842E-2,3.980380593E-2,6.597085977E-1,6.647120761E-1
2.773473958E0,1.262607548E-2,-1.384683341E-1,-2.189717942E-1,2.593868617E-1
2.783442958E0,1.045186143E-1,-1.156060681E-1,-7.885256821E-1,8.037796060E-1
2.793412958E0,-1.969535555E-1,-7.875299561E-2,-5.480875897E-1,5.877012365E-1
2.803382958E0,1.273651477E-2,-1.060758923E-1,1.638068229E-1,1.955683741E-1
2.813352958E0,2.658568159E-1,5.362306058E-2,3.767296726E-1,4.641987994E-1
2.823322958E0,-1.485200816E-1,-7.718138281E-2,-2.623031706E-1,3.111561244E-1
2.833292958E0,-1.613041781E-1,-1.728866900E-1,-3.715338367E-1,4.403932757E-1
2.843262958E0,-1.622850485E-1,3.835086420E-2,9.325841188E-1,9.473755140E-1
2.853232958E0,-1.126610449E-1,-1.464610759E-1,3.135674644E-1,3.639614162E-1
2.863202958E0,5.097156390E-1,-2.641768195E-1,-7.271381038E-1,9.264606018E-1
2.873172958E0,5.105491231E-1,-2.054460881E-1,8.208140069E-1,9.882328350E-1
2.883141958E0,2.467662780E-1,7.635074928E-2,9.869679022E-1,1.020210112E0
2.893111958E0,8.715238385E-3,-1.200174634E-1,-6.595980853E-1,6.704847359E-1
2.903081958E0,4.416518927E-2,5.430705691E-2,1.444677418E-1,1.605327032E-1
2.913051958E0,-3.675234508E-1,2.364194289E-1,1.478027013E0,1.541275927E0
2.923021958E0,-4.371935369E-1,-1.883959179E-2,-2.570436001E-2,4.383535480E-1
2.932991958E0,-3.247493872E-1,2.196371343E-2,-1.402666928E0,1.439937179E0
